City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Aktau,KZ,43.65,51.2,39.78,86,100,12.95,overcast clouds
175,Bredasdorp,ZA,-34.5322,20.0403,69.12,46,33,16.11,scattered clouds
176,Hayvoron,UA,48.3396,29.8679,29.1,63,47,2.13,scattered clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,70.52,53,0,1.41,clear sky
178,San Patricio,US,28.017,-97.5169,33.89,45,30,19.73,scattered clouds
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,84,99,11.3,overcast clouds
180,Caravelas,BR,-17.7125,-39.2481,79.72,77,100,4.59,moderate rain
181,Yellowknife,CA,62.456,-114.3525,-33.72,67,20,3.44,mist
182,Mar Del Plata,AR,-38.0023,-57.5575,73.42,91,20,5.99,few clouds
183,Chalus,IR,36.655,51.4204,53.06,87,75,2.3,broken clouds
184,Hofn,IS,64.2539,-15.2082,32.02,51,20,25.32,few clouds
185,Aksarka,RU,66.5606,67.7975,5.38,97,100,2.8,light snow
186,Visnes,NO,59.3556,5.2242,40.21,70,20,27.63,few clouds
187,Barrow,US,71.2906,-156.7887,-29.18,68,0,6.91,clear sky
188,Sept-Iles,CA,50.2001,-66.3821,4.05,51,40,5.99,scattered clouds
189,Saint-Pierre,RE,-21.3393,55.4781,80.28,74,75,5.75,broken clouds
190,Olinda,BR,-8.0089,-34.8553,85.73,66,40,11.5,scattered clouds
191,Severo-Kurilsk,RU,50.6789,156.125,27.09,87,100,3.67,overcast clouds
192,Carnarvon,AU,-24.8667,113.6333,82.47,61,9,12.66,clear sky
193,Berbera,SO,10.4396,45.0143,77.14,58,3,5.91,clear sky
194,Porto Novo,BJ,6.4965,2.6036,85.82,59,4,11.27,clear sky
195,Waipawa,NZ,-41.4122,175.5153,56.03,96,100,13.89,overcast clouds
196,Yuxia,CN,34.0615,108.6291,34.41,54,33,3.13,scattered clouds
197,Ilulissat,GL,69.2167,-51.1,15.82,57,75,23.02,broken clouds
198,Bonthe,SL,7.5264,-12.505,84.36,59,13,13.6,few clouds
199,Kirensk,RU,57.7853,108.1119,12.69,95,100,7.9,light snow
200,Talnakh,RU,69.4865,88.3972,-2.79,96,99,7.61,overcast clouds
201,Ganserndorf,AT,48.3392,16.7202,48.97,72,100,5.59,overcast clouds
202,Kautokeino,NO,69.0125,23.0412,10.94,94,100,22.73,light snow
203,Mayumba,GA,-3.432,10.6554,78.6,79,97,4.34,overcast clouds
204,Champerico,GT,14.3,-91.9167,90.36,56,1,10.83,clear sky
205,Kawalu,ID,-7.3817,108.2082,72.73,96,94,1.95,overcast clouds
206,Lorengau,PG,-2.0226,147.2712,80.42,76,78,7.0,broken clouds
207,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,14.97,few clouds
208,Annau,TM,37.8876,58.516,56.7,33,75,4.61,broken clouds
209,Faanui,PF,-16.4833,-151.75,80.44,73,19,14.7,few clouds
210,Sayyan,YE,15.1718,44.3244,59.25,45,2,2.48,clear sky
211,Ornskoldsvik,SE,63.2909,18.7153,34.75,100,100,11.5,overcast clouds
212,San Rafael,AR,-34.6177,-68.3301,80.98,30,1,4.45,clear sky
213,Klaksvik,FO,62.2266,-6.589,34.72,66,92,45.9,overcast clouds
214,Codrington,AU,-38.2667,141.9667,54.39,93,48,8.1,scattered clouds
215,Yumen,CN,40.2833,97.2,16.95,41,100,14.25,overcast clouds
216,Ballina,AU,-28.8667,153.5667,71.56,69,40,18.41,scattered clouds
217,Alexandria,EG,31.2156,29.9553,57.16,72,40,16.11,scattered clouds
218,Swift Current,CA,50.2834,-107.8014,-1.39,78,100,25.32,haze
219,Kiama,AU,-34.6833,150.8667,64.0,89,75,3.0,broken clouds
220,Bilibino,RU,68.0546,166.4372,-9.11,77,0,4.74,clear sky
221,Bethel,US,41.3712,-73.414,38.48,91,100,4.61,moderate rain
222,Freeport,US,40.6576,-73.5832,40.08,85,100,1.99,moderate rain
223,Sao Filipe,CV,14.8961,-24.4956,74.82,68,0,7.74,clear sky
224,Airai,TL,-8.9266,125.4092,61.18,89,100,1.95,overcast clouds
225,Batagay,RU,67.6333,134.6333,-38.58,99,40,2.24,scattered clouds
226,Demba,CD,-5.51,22.2667,71.44,84,94,3.58,overcast clouds
227,Raduzhnyy,RU,62.0961,77.475,21.06,95,99,9.57,overcast clouds
228,Beringovskiy,RU,63.05,179.3167,-9.26,89,100,15.3,overcast clouds
229,Saldanha,ZA,-33.0117,17.9442,75.25,68,0,23.64,clear sky
230,Pochutla,MX,15.7432,-96.4661,86.83,40,0,7.14,clear sky
231,Crixas,BR,-14.5489,-49.9692,89.08,57,36,1.21,scattered clouds
232,Ordynskoye,RU,54.3656,81.8994,10.54,91,97,9.37,overcast clouds
233,Lloydminster,CA,53.2835,-110.0016,-7.92,77,100,17.27,mist
234,De Aar,ZA,-30.6497,24.0123,77.88,26,37,10.33,scattered clouds
235,Marzuq,YE,14.4,46.4667,66.42,45,19,6.82,few clouds
236,Narsaq,GL,60.9167,-46.05,10.62,68,86,22.06,overcast clouds
237,Kichmengskiy Gorodok,RU,59.9816,45.7854,-1.66,100,90,3.49,overcast clouds
238,Mandalgovi,MN,45.7625,106.2708,4.28,75,91,7.85,overcast clouds
239,Pangkalanbuun,ID,-2.6833,111.6167,73.96,95,71,2.24,broken clouds
240,Olafsvik,IS,64.8945,-23.7142,28.71,72,75,14.27,broken clouds
241,Urucara,BR,-2.5364,-57.76,72.73,94,100,2.82,overcast clouds
242,Maniitsoq,GL,65.4167,-52.9,6.55,86,100,13.18,light snow
243,Mwandiga,TZ,-4.83,29.6581,74.59,83,75,0.0,thunderstorm
244,Damghan,IR,36.1683,54.348,46.58,49,7,2.08,clear sky
245,Stephenville,US,32.2207,-98.2023,25.14,85,100,0.0,overcast clouds
246,Lata,PT,40.1629,-8.3327,57.72,69,99,6.08,overcast clouds
247,Paita,PE,-5.0892,-81.1144,82.96,63,60,10.6,broken clouds
248,Kasongo-Lunda,CD,-6.4667,16.8167,73.47,88,99,1.12,overcast clouds
249,Santa Cruz,BO,-17.8,-63.1667,85.46,70,75,21.85,broken clouds
250,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,3.44,snow
251,San Andres,CO,12.5847,-81.7006,84.22,65,40,13.8,scattered clouds
252,Kenai,US,60.5544,-151.2583,21.02,93,100,4.61,overcast clouds
253,Kuvshinovo,RU,57.0295,34.1725,0.5,100,92,1.03,overcast clouds
